A,B,C,Total
0.0,1.0,0.0,3
0.11864406779661017,0.3389830508474576,0.5423728813559322,59
nan,nan,nan,nan
0.16666666666666666,0.5,0.3333333333333333,6
nan,nan,nan,nan
0.06,0.44666666666666666,0.49333333333333335,150
0.0,0.0,1.0,1
0.0,0.3055555555555556,0.6944444444444444,36
0.06504065040650407,0.3089430894308943,0.6260162601626016,123
0.11627906976744186,0.3953488372093023,0.4883720930232558,43
0.08411214953271028,0.45794392523364486,0.45794392523364486,107
0.0,0.5294117647058824,0.47058823529411764,17
0.08333333333333333,0.4166666666666667,0.5,12
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.07692307692307693,0.38461538461538464,0.5384615384615384,13
0.058823529411764705,0.35294117647058826,0.5882352941176471,68
0.0,0.38095238095238093,0.6190476190476191,21
0.06,0.36,0.58,100
0.0,0.16666666666666666,0.8333333333333334,12
0.0,0.391304347826087,0.6086956521739131,23
0.05102040816326531,0.45918367346938777,0.4897959183673469,98
0.07142857142857142,0.4642857142857143,0.4642857142857143,28
0.0,0.25,0.75,8
0.08695652173913043,0.43478260869565216,0.4782608695652174,23
0.0,0.34782608695652173,0.6521739130434783,23
0.09090909090909091,0.4090909090909091,0.5,44
0.0625,0.4375,0.5,16
0.058823529411764705,0.6470588235294118,0.29411764705882354,17
0.04716981132075472,0.42452830188679247,0.5283018867924528,106
0.08609271523178808,0.3576158940397351,0.5562913907284768,151
nan,nan,nan,nan
0.0,0.3333333333333333,0.6666666666666666,12
nan,nan,nan,nan
0.14285714285714285,0.7142857142857143,0.14285714285714285,7
0.08163265306122448,0.3877551020408163,0.5306122448979592,49
0.05555555555555555,0.3611111111111111,0.5833333333333334,36
nan,nan,nan,nan
0.03389830508474576,0.4745762711864407,0.4915254237288136,59
nan,nan,nan,nan
0.0,0.34782608695652173,0.6521739130434783,23
0.045454545454545456,0.3939393939393939,0.5606060606060606,66
nan,nan,nan,nan
0.047619047619047616,0.38095238095238093,0.5714285714285714,42
nan,nan,nan,nan
0.09090909090909091,0.4090909090909091,0.5,22
0.10526315789473684,0.39473684210526316,0.5,38
0.047619047619047616,0.5238095238095238,0.42857142857142855,42
0.0,0.36363636363636365,0.6363636363636364,11
0.0,0.6,0.4,5
0.05,0.4375,0.5125,80
0.10752688172043011,0.41935483870967744,0.4731182795698925,93
0.15217391304347827,0.43478260869565216,0.41304347826086957,46
nan,nan,nan,nan
0.08695652173913043,0.21739130434782608,0.6956521739130435,23
0.041666666666666664,0.5833333333333334,0.375,24
0.028985507246376812,0.30434782608695654,0.6666666666666666,69
0.05454545454545454,0.45454545454545453,0.4909090909090909,55
0.06666666666666667,0.37777777777777777,0.5555555555555556,45
0.06666666666666667,0.3333333333333333,0.6,30
0.05,0.25,0.7,20
nan,nan,nan,nan
0.09090909090909091,0.45454545454545453,0.45454545454545453,33
0.03571428571428571,0.44642857142857145,0.5178571428571429,112
0.08,0.36,0.56,25
0.025,0.475,0.5,40
0.12121212121212122,0.3333333333333333,0.5454545454545454,33
0.15384615384615385,0.46153846153846156,0.38461538461538464,13
0.0,0.4166666666666667,0.5833333333333334,24
0.044642857142857144,0.44642857142857145,0.5089285714285714,112
0.03636363636363636,0.38181818181818183,0.5818181818181818,55
0.041666666666666664,0.5,0.4583333333333333,24
0.04,0.48,0.48,25
0.04,0.16,0.8,25
0.075,0.3875,0.5375,80
0.0,0.2777777777777778,0.7222222222222222,18
nan,nan,nan,nan
0.18518518518518517,0.48148148148148145,0.3333333333333333,27
0.0,0.4523809523809524,0.5476190476190477,42
0.12,0.4,0.48,50
0.06,0.48,0.46,50
0.1,0.4,0.5,10
0.09090909090909091,0.22727272727272727,0.6818181818181818,22
0.05,0.45,0.5,120
0.20833333333333334,0.5,0.2916666666666667,24
0.03508771929824561,0.40350877192982454,0.5614035087719298,57
nan,nan,nan,nan
0.029411764705882353,0.5588235294117647,0.4117647058823529,34
nan,nan,nan,nan
0.02040816326530612,0.40816326530612246,0.5714285714285714,98
0.0,0.0,1.0,1
0.15384615384615385,0.38461538461538464,0.46153846153846156,26
0.0,0.5,0.5,4
0.047619047619047616,0.5238095238095238,0.42857142857142855,21
0.14285714285714285,0.5714285714285714,0.2857142857142857,7
0.06060606060606061,0.45454545454545453,0.48484848484848486,33
0.06382978723404255,0.3617021276595745,0.574468085106383,94
0.2,0.2,0.6,5
0.058823529411764705,0.49019607843137253,0.45098039215686275,51
0.02702702702702703,0.4189189189189189,0.5540540540540541,74
nan,nan,nan,nan
0.1111111111111111,0.3333333333333333,0.5555555555555556,9
0.07142857142857142,0.21428571428571427,0.7142857142857143,14
nan,nan,nan,nan
0.0,0.3409090909090909,0.6590909090909091,44
0.08695652173913043,0.3804347826086957,0.532608695652174,92
0.044444444444444446,0.4222222222222222,0.5333333333333333,45
0.06666666666666667,0.4444444444444444,0.4888888888888889,45
0.0,0.4,0.6,5
1.0,0.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
0.045454545454545456,0.5,0.45454545454545453,22
0.027777777777777776,0.3888888888888889,0.5833333333333334,36
nan,nan,nan,nan
0.061224489795918366,0.3673469387755102,0.5714285714285714,49
nan,nan,nan,nan
0.0,0.4,0.6,5
0.058823529411764705,0.5294117647058824,0.4117647058823529,17
0.0,0.5,0.5,2
0.0425531914893617,0.5319148936170213,0.425531914893617,47
0.09090909090909091,0.34545454545454546,0.5636363636363636,55
0.0,0.5,0.5,32
0.023255813953488372,0.3488372093023256,0.627906976744186,43
0.034482758620689655,0.4827586206896552,0.4827586206896552,29
0.15789473684210525,0.5263157894736842,0.3157894736842105,19
0.015151515151515152,0.4090909090909091,0.5757575757575758,66
0.06521739130434782,0.42028985507246375,0.5144927536231884,138
0.14285714285714285,0.5714285714285714,0.2857142857142857,7
0.031746031746031744,0.36507936507936506,0.6031746031746031,63
0.18032786885245902,0.36065573770491804,0.45901639344262296,61
0.07142857142857142,0.35714285714285715,0.5714285714285714,14
0.07142857142857142,0.32142857142857145,0.6071428571428571,28
0.0,0.7777777777777778,0.2222222222222222,9
0.06666666666666667,0.4,0.5333333333333333,15
nan,nan,nan,nan
0.0547945205479452,0.4520547945205479,0.4931506849315068,73
0.04411764705882353,0.4411764705882353,0.5147058823529411,68
0.056338028169014086,0.352112676056338,0.5915492957746479,71
0.0,0.0,1.0,2
0.03125,0.4375,0.53125,32
0.0425531914893617,0.2978723404255319,0.6595744680851063,47
nan,nan,nan,nan
0.125,0.3125,0.5625,16
0.045454545454545456,0.3181818181818182,0.6363636363636364,22
0.06896551724137931,0.39655172413793105,0.5344827586206896,58
0.0967741935483871,0.5161290322580645,0.3870967741935484,31
0.06896551724137931,0.4482758620689655,0.4827586206896552,29
0.07051282051282051,0.3974358974358974,0.532051282051282,156
0.04,0.36,0.6,25
nan,nan,nan,nan
nan,nan,nan,nan
0.0,0.26666666666666666,0.7333333333333333,30
0.04819277108433735,0.46987951807228917,0.4819277108433735,83
0.0,0.6666666666666666,0.3333333333333333,6
nan,nan,nan,nan
0.1111111111111111,0.37037037037037035,0.5185185185185185,27
0.0,0.5,0.5,8
0.2222222222222222,0.4444444444444444,0.3333333333333333,9
0.059322033898305086,0.3813559322033898,0.559322033898305,118
nan,nan,nan,nan
0.06493506493506493,0.37662337662337664,0.5584415584415584,77
0.06779661016949153,0.3050847457627119,0.6271186440677966,59
0.07407407407407407,0.3333333333333333,0.5925925925925926,27
0.09090909090909091,0.38181818181818183,0.5272727272727272,55
0.041666666666666664,0.20833333333333334,0.75,24
0.04,0.38,0.58,50
0.0,0.5,0.5,2
0.05,0.55,0.4,20
0.10256410256410256,0.41025641025641024,0.48717948717948717,39
0.08264462809917356,0.4628099173553719,0.45454545454545453,121
0.08888888888888889,0.45555555555555555,0.45555555555555555,90
0.16279069767441862,0.37209302325581395,0.46511627906976744,43
0.125,0.5,0.375,24
0.02702702702702703,0.4594594594594595,0.5135135135135135,37
0.09090909090909091,0.45454545454545453,0.45454545454545453,11
nan,nan,nan,nan
0.0,0.55,0.45,20
0.13333333333333333,0.4,0.4666666666666667,15
0.1111111111111111,0.4444444444444444,0.4444444444444444,9
0.0,0.3191489361702128,0.6808510638297872,47
0.06896551724137931,0.4827586206896552,0.4482758620689655,29
0.0,0.3333333333333333,0.6666666666666666,3
nan,nan,nan,nan
0.16666666666666666,0.2777777777777778,0.5555555555555556,18
0.1,0.36666666666666664,0.5333333333333333,30
0.038461538461538464,0.46153846153846156,0.5,26
0.0,0.25,0.75,8
0.2,0.4,0.4,5
0.05,0.5,0.45,20
0.05970149253731343,0.4626865671641791,0.47761194029850745,67
