area,ne
-0.00022204060698896818,68
-0.00017162763303049024,134
1.9640799791315907e-06,42
0.0003380714263700828,96
6.899850657781589e-05,80
0.000151684088266629,33
0.00010559415182890247,95
0.00022733245641024216,179
0.0001637855479244446,85
-3.2605239361297637e-06,103
0.00024233316008650697,53
0.00012589635720369164,149
-0.00016762483339404053,237
0.0,0
-2.2598225412304476e-05,134
-0.0004214972921559066,139
-0.0002071418574628043,160
-0.0002203434891932903,116
4.330587014363339e-05,59
-0.00020655416716850564,130
-7.539376504648261e-05,241
0.00011179097885614696,64
-0.00034602586892605125,200
0.0004528301269909064,133
-1.8616858059857626e-05,47
-0.0001959527453254551,162
3.813179847177415e-05,203
0.00045637935029558163,163
9.791351690537002e-05,61
-0.00011030567872581509,114
0.0,0
-0.0001791310691273769,56
-2.3372650969165687e-05,28
-0.000479798393889495,130
0.0,0
-0.00021678169108981147,79
-0.00012128782482543019,379
-5.973391355898733e-05,106
-0.00017272425022216294,96
6.432282771157587e-05,36
-0.00022851437525228826,71
-0.0002627354317243796,58
0.00011993183232891182,25
0.0002377822269541893,120
-0.0002711891028920621,49
-0.00016365734248796973,219
8.817655252493113e-05,61
0.0,0
0.00021958631241696718,29
6.263080505073026e-07,190
0.00013959808541841252,29
0.0003116358334594416,34
0.00026455014397322587,74
0.00011156313473313235,194
0.0002700740437288434,107
0.0003736391006898351,111
5.915279709788585e-07,76
-0.00015866033423966343,38
-0.00034270853471568004,159
-0.0001254304390209356,213
-0.00010851010188496332,44
-3.8935007852248676e-05,17
0.0,1
5.325825930865475e-05,79
-0.000149849437144911,127
-5.434208784049887e-06,32
0.00031656162908847145,104
-0.00026457456280093,147
7.43546145687539e-05,67
-0.00029334136226921373,237
0.00015900926398087706,36
-0.00032641684922017216,118
4.403838597800372e-05,70
0.0001822466601698944,224
2.0825007865864532e-07,4
-1.789510921672096e-06,144
0.0003338677367884583,81
-7.513905640093775e-05,105
-0.00013804953188034663,36
0.0002916922893530175,28
0.0002680346977083613,32
0.000273387301307127,47
0.00016435144618517255,58
0.00032264913946376816,65
-9.899880054430574e-05,23
1.2113594522258007e-05,38
-1.3916381959108722e-05,50
-0.00019324223262025082,175
-8.766677234132814e-06,58
-0.00025225685478258474,107
0.0,0
5.955081322626857e-05,6
-0.0006183746440704555,299
0.0,0
-0.00020416162805505947,61
area,ne
-0.00020143909156264834,120
-5.7742330638123506e-05,14
-3.704574047271979e-05,61
0.0,0
-9.453193768976962e-05,80
-7.719187820425696e-06,72
-0.0003038671710228878,37
-2.398756352906603e-06,100
-0.0002866185325827509,195
0.00013875969801481394,62
-1.063743439887571e-05,33
-4.945351191610064e-05,19
-0.0002450336595227258,54
0.00040008621428569213,260
-0.00011568815018998434,161
-8.501608566925615e-05,150
0.000249407232908463,312
-9.49774105330156e-05,21
-1.228984237469434e-05,16
-2.3073886557505882e-05,34
-4.663441828278305e-05,42
1.8659098147802923e-07,271
-0.00015734562929262038,32
-0.00020622379032486806,248
4.791879010343204e-06,130
6.909208214451928e-05,25
-9.024673067440968e-05,243
-7.533339376366694e-05,152
-0.0001736646336002578,68
-0.00011871720088299147,46
-0.0002458720562313082,196
-9.20961394888499e-05,78
0.00012480697875064397,74
-0.00017423745059420777,75
2.507862328399527e-05,94
4.1924265341386043e-07,2
8.866394718949614e-05,133
0.0,0
0.0002968476115152115,197
-0.00012573456841543696,135
0.0002221718922750335,12
-1.1494130815020226e-05,158
0.0004814816775077343,235
-0.00030056750572669767,250
0.0,0
0.00022475511310490374,79
1.1825622298047232e-06,3
0.00013115571767328797,125
0.00013527626642100148,98
0.0001082419892326841,86
-3.5493251354715633e-05,57
2.923734133228625e-05,172
0.00045358498711359674,328
-0.0001772204371086499,101
-0.00031008322837384447,59
8.847386395666427e-05,32
0.00019277898775425694,83
-0.000398092577625002,163
0.00033374436674126097,77
-0.00014730029296480742,322
0.0003627294123697955,184
0.00013193030820861325,270
-2.3417196501525917e-05,38
4.762153018000259e-08,3
6.509758063370163e-05,126
-0.0002925385588046023,156
-1.8428729610407925e-05,95
0.0,0
4.7023796622978006e-05,67
0.0002613733117761752,184
0.00022500306459874122,34
-0.0003819596744012422,100
0.0003591094329075292,67
0.000293317612283547,72
1.537802142187675e-05,170
-1.2812021379260523e-05,10
-2.1488081789772015e-06,11
-0.00034767386313336334,279
-0.0002752105622241315,137
0.00011548037403080864,76
0.0004657629705723158,261
0.0,1
0.00023019650965170474,64
7.570322821868507e-05,134
-1.1717971647534922e-06,54
-9.389570193085975e-09,3
0.0003006030847709917,46
-0.0004431388585511451,69
0.00026506636617778644,108
-6.847122955932892e-05,227
-1.9891630241395638e-05,95
-3.504693863172662e-05,39
-0.00022688712942204862,83
1.0478116440162202e-05,79
-0.0001651699816619602,29
-0.0002496031836540545,80
0.00029110679864092186,94
-0.00016335270126232698,78
-0.00031024696228879137,82
-5.879659915308729e-05,62
area,ne
0.0,0
8.075540833164151e-07,11
-0.00017303516248404237,101
1.81448342333977e-05,65
-6.929936319782896e-05,134
0.00011949246382027807,113
8.118766082608841e-05,39
0.0003346982852233385,146
0.00023481274353669281,72
0.00019406716343177462,53
-0.00027532429207197616,73
0.0005865010286734235,302
0.0005809155780385253,139
-0.00023935799679084072,63
4.7136045261781604e-05,47
-0.0002292883938004077,69
0.0003673556100047308,76
-6.0737525461922405e-05,8
2.707542293898683e-05,73
-4.201418406257781e-05,93
-7.625348539925699e-05,205
0.00020718675568881485,113
1.2275070242990256e-05,153
-9.246098523424508e-05,40
-0.00036973876348208684,64
0.00016627484422545953,66
0.00012198704338317796,36
8.298841711738864e-05,20
7.480275322897102e-05,355
0.00024199651077733137,180
-1.2389162478251066e-05,41
4.931800031590711e-05,211
0.0001626458691057189,240
-0.0002993076350904563,79
-0.00016630879326681876,49
3.222991910868503e-05,78
0.0,1
0.00025691128891229125,23
0.0003677884899659392,79
-5.820583914548211e-05,22
0.0,1
-0.0001673270505339788,23
-3.590699774049256e-05,75
-0.00020761037545686202,55
0.00011322082888902854,52
-0.00039533053302024345,101
-0.00011742320125442886,29
-0.00012245761327951528,36
1.506699247057967e-05,61
0.00014266303296986638,198
0.00022739793355563214,120
-0.00034781030812363207,25
-0.00010932822926390155,75
-5.464774847088859e-05,169
0.0002207879566626314,209
9.824490518795334e-05,176
-5.6289042621546025e-05,9
1.5498262588388147e-05,231
9.864654420607626e-05,62
-4.8654246068621525e-05,50
-2.4627952869044084e-06,29
-0.00040790509937316293,120
-0.0001369280664665111,53
0.00013759995016496125,78
-0.00014140976524789243,15
7.218405607856479e-05,28
2.0519552316541685e-05,28
0.0,0
4.970335255482119e-05,128
-0.0001792976643267875,141
-5.680848276688952e-05,24
0.00042872330233066657,108
0.00020319976080844794,57
0.00022276320404299637,111
-0.00015019176299081228,56
-5.273693114831011e-06,112
0.00019558310326695858,113
0.00024204968684591222,93
-0.00024832761020228216,72
5.549186756014883e-05,54
8.0592403684531e-05,23
0.0,1
0.0004306313132955616,155
-0.00010400286810159065,197
-0.00013484907799032067,141
1.9222359861034072e-05,243
-0.00016097814513340526,101
-0.0004596172763459046,73
-3.8864424856781774e-05,148
-0.00034701441594702203,57
-0.00044303505455768865,181
-0.0002972662794101002,84
0.0003149010475117417,89
0.0,0
0.00012565358916366432,23
0.0005153818395277583,163
-7.1731909184931465e-06,96
0.00012726519699276706,177
0.0002604494439849737,27
0.0004685711436622332,209
area,ne
-0.00023124836878961867,45
-0.00014842221139262752,38
0.00024929430156219026,133
-2.317404538258799e-05,30
-0.00030787396211308024,62
0.0005337631822176179,406
0.00036131414797501305,124
0.0,1
-0.0003714099440574642,59
0.00010012650795060997,68
0.0002935574639179913,101
-7.682400257714621e-05,75
-0.00043420923434112893,106
0.0,0
0.0001811169590260681,54
-0.000403665639446675,259
-1.221552175831286e-05,3
2.451614170480721e-07,4
-7.618154055893962e-06,41
-5.416575797919475e-05,62
-0.00023011748825179317,16
0.0,1
0.00020445115111896435,133
0.00019736931886445397,128
-9.754908704360167e-05,31
-0.0001821568951214876,93
4.889980018407954e-06,138
-5.428356063593707e-05,239
-9.972270376338393e-06,85
-7.794091395247154e-05,32
0.0002944805283942267,30
-5.4060463191650536e-05,29
0.00015107406040714878,35
-7.954540613220835e-05,329
-0.0001139264799034355,51
-1.1202757005997914e-05,54
0.00014877881544258197,62
-0.0002488154100583013,99
1.758784860261927e-05,68
-0.0004404952739071123,103
0.0,1
0.0002865586532123329,56
-0.0004426121957159284,157
0.0,1
-1.9020551917738764e-06,95
9.685325905787449e-05,242
0.0,0
0.00039251075514141066,195
-0.00037130806394379074,32
0.0003203289826262297,74
-0.0002380373354300071,51
-0.00014374230102086387,31
0.0002065167765925924,57
-0.0003797559016036892,116
0.0002150982269180085,45
4.444115873591043e-05,78
0.0002472895592577054,201
0.0,1
-3.6076225652566705e-05,44
-0.0003718369831919347,217
-0.00012091928255582456,4
3.532103360929384e-05,65
