area,ne
0.00019018558657494616,118
4.8589453533038916e-05,52
2.3137353436380124e-05,37
0.00043460310040083417,18
5.61753907394966e-05,416
0.00044187234216793743,135
6.810709421039606e-07,63
-0.00024944222025956715,37
0.0007499499427643024,69
0.001078778634043674,261
-3.675689413829095e-07,2
-0.00037685474849402623,12
-9.663519708988498e-06,102
-0.000719635762542879,117
-0.0001074777867431818,189
4.852703041838397e-05,123
0.0,0
-0.0001821842325898032,111
0.0002575089009065171,31
1.5114015040552583e-08,2
1.420021546731024e-05,118
-0.0005908171503840936,289
-1.7266683237169583e-05,184
-9.822768703499722e-05,53
3.5093562598386265e-05,53
0.000636607739302138,45
0.0006743018052741972,69
-0.0001559713837967714,56
-0.0007966291917036365,88
-4.615007892595095e-05,105
0.0005377928177501049,126
0.00034305305443267187,116
4.7549576463707534e-05,172
9.32295235313022e-06,103
-6.153271416439865e-05,28
0.00048496512278428357,20
-0.00020890975885422093,39
-0.00015163122718834813,52
0.0001507415345054127,85
-0.0005844720645419985,143
2.6961630121428775e-05,149
0.0001097014850928401,195
4.639034186019964e-06,57
-0.0006795423149059566,39
0.0,0
-0.00018104059934021614,18
-0.00020884577836071904,62
8.209558428970742e-05,64
0.0,0
-0.00032980310000929613,29
0.00039844302392414175,22
8.361979556421347e-09,3
-6.453287906288368e-06,63
2.2094771300615993e-09,2
9.743023064572276e-05,96
0.00036270767949348685,128
4.4960710538098364e-09,2
-0.000493593345747685,118
-0.001043570326196226,64
-0.0007527049975811868,141
7.49060966986585e-05,72
-0.0004895927587351026,67
0.00015049262886676287,243
-0.00046063737372876404,103
0.00044436319368824635,66
0.0010775262456726852,89
-0.0008421667208594946,86
-0.000514732389911775,30
-0.00017287328111314216,171
0.00037308439836312404,32
4.088613612888704e-05,64
0.0004255509081864671,28
0.0004086692613314776,111
0.0001208344730547864,52
-0.0002537149123843345,108
0.0001855252324744122,55
-0.0003741761816276162,45
-3.059022315176504e-05,62
-0.00017108740153732346,41
0.0,0
3.126225035412636e-05,70
-6.6621525669417385e-06,35
-0.0006741183594955407,96
0.0004317622715947686,72
-2.003681728887442e-05,48
0.0,0
0.0004133450007643375,238
-7.570849163732723e-05,96
-4.217860901683336e-05,23
0.0,0
0.00027619759643467704,87
-0.0004183693915636301,351
8.075251009433995e-05,53
-0.000726456297885561,227
-0.00012433488132810935,77
3.223881629432466e-05,108
0.00020932043664901022,91
-5.1828314300224096e-06,32
-4.03530824698761e-05,63
6.411064897881783e-06,48
area,ne
-0.0001404389933213158,31
0.0,1
-0.0001400471392994518,190
0.0004149242371043038,105
0.0007812952618546801,69
0.0004751541512242858,78
-0.0006980610987050678,32
4.047616306202228e-05,88
8.265460785007199e-05,88
-0.00030803269871069463,139
-0.0010624913550167836,111
-0.000249230557646762,87
-2.2905490234312487e-05,127
0.0002073294293654445,90
0.0005223837817049858,182
0.0002513718942116182,32
-0.00014033983801935564,39
-0.00024831966654299803,171
1.5229610626064886e-07,4
-5.552181852280598e-05,64
0.0005627880663350997,40
-0.00023232999130146938,34
7.903439572288087e-05,3
-4.1774073724295816e-05,97
-0.0008085815627512134,168
-0.00012052440740950836,89
-0.00020427965448332005,185
-0.0005365374230474416,77
-0.0005759552999450029,172
0.0,1
0.0007231357738942292,100
-0.00010326944033792146,92
1.4640741729434646e-05,62
9.834748351381812e-05,384
0.0010748479258191103,117
-3.032544605068668e-08,2
-0.0002110556421874014,30
-0.0005848671219539023,193
-3.160965291168474e-05,118
0.0,1
1.8870603080132115e-05,55
0.0001051349272223898,221
-0.0006444656658566386,184
1.4160643755469618e-05,292
0.00014858525601952965,11
0.00026377954019593574,114
-3.0004630896765548e-05,145
2.0209981251408533e-05,82
0.0,0
7.783978132878992e-06,16
0.0,0
0.0002539516470347558,96
-0.0004263241628135198,12
0.0001556851167584345,12
-0.0005132964075701336,102
0.0004181983322207988,88
-3.2011018842657157e-06,12
-0.0005497838279119199,83
-0.00017057339074597476,141
-4.444171753412374e-05,19
0.0001794974549456791,72
0.00033945376597134227,71
-0.0007126140067902308,134
-0.0005238456578972832,133
0.00045357146072748535,13
0.0,0
0.0012659312616996104,136
0.0,1
-0.0002776379238232201,25
0.0,1
-0.00031105637128330975,88
-4.44751797174349e-05,65
-0.00012761793103204303,90
-1.5588268120341312e-05,384
0.0,0
-1.482058960957219e-05,27
0.00010599642325139334,116
0.0007780287968627098,102
-1.1932035227859339e-08,2
-0.0002509950153533866,177
8.386418371001504e-05,63
3.374265200661337e-05,114
0.000398583576776285,66
0.00031204927457708525,78
-0.0006033394519776678,110
0.0012484956594727788,157
-0.00013492713272483394,23
-0.0003240120040602714,160
0.0007985556669816507,137
-0.00014358316050176764,73
0.00013721955646899366,81
0.00014910909287012733,48
0.00011660453099458548,204
-0.000130597996975611,18
0.00018776709490865635,111
8.916008233865261e-05,94
0.00011807629489971062,110
-0.0003939120668366755,42
0.00028234194503021497,135
-0.0007572724443360203,199
area,ne
-0.00010757074484536059,37
-7.544902460430247e-05,25
-0.00016829692662580854,45
0.0007083208946323716,74
-1.507322544670582e-08,2
0.0001140008866339909,55
1.5356536814490094e-06,131
-0.0003245343114980045,56
-3.588707636182722e-05,10
3.678678253980539e-05,41
3.2320951517649e-05,262
6.324458416973854e-05,65
9.128831985940231e-05,19
0.00014535043568232592,33
5.1614135376459504e-05,7
-3.624359004258362e-05,60
4.332409280484983e-05,86
4.543830487352124e-05,93
1.4014471411933673e-07,2
-0.000392563245878826,84
-0.00013215330097399842,103
0.0003363915716971545,52
-0.0007378420165400695,62
-6.753363060111646e-05,113
3.286837860950698e-05,88
-0.0007739321111155348,75
0.0008682000772711223,87
0.0001871975879531958,37
0.00040404098941961,13
-0.00018195369035072786,146
0.00015080903969184956,137
-9.626070085751126e-05,60
-0.00024370239306352164,211
2.0462077382283867e-05,211
0.00019969492078896538,17
-2.2844482971405794e-06,69
0.0,0
0.00035446159026261307,73
4.4789867957510736e-05,24
-0.0007026737950687111,61
-0.0005283161957190706,352
-1.1084114811127894e-09,2
