area,ne
-2.5515797477794327e-05,74
-6.147203320257346e-06,127
0.00010471106918051628,113
0.00035537662252738253,77
-0.0001719410558529485,142
-0.0004462945613572391,214
0.0002527493804699752,55
-0.0009361145454067336,274
0.00020936569559387003,17
-0.0013673839025276629,132
6.984791397006541e-05,95
-0.000995174677648531,60
-0.00037008031581859535,70
-0.00017145270682314198,91
-6.411252597322892e-05,55
-0.0012768510116711782,215
0.0,0
1.460451488104189e-05,29
-5.730962802222337e-05,16
0.00010323850170622999,39
0.00045224157940864426,186
-6.401989305892908e-05,58
-0.00010146410512656375,74
0.0,1
4.5302043669771854e-05,39
0.0,0
-3.6549517802364454e-05,70
-0.00016702124745146673,169
0.000468569943073906,131
-0.0008887028601260809,102
-0.0002032632723518946,52
0.00044157540184921475,149
0.0008273490150856502,381
-9.456038577128067e-07,142
-0.0003268072853896896,7
4.840297622417917e-05,198
-7.28768653190852e-05,160
0.0005503179867916124,19
-0.0003427409618678044,145
0.00043432029309060444,31
-0.00011617505846495521,68
-0.00015202850679850598,123
-0.0007420184218643933,146
-0.00035948589809999513,271
-0.0001565450430541552,195
0.00014753341844757803,12
-0.0004410134572240192,117
0.0004234499716847195,46
-0.0006612006149847959,53
4.66788565111278e-05,114
-0.0005096693055905012,140
0.0,1
-0.0001302157509891288,55
5.5954872517129246e-05,272
4.2532978884915e-05,65
0.00014041367202547762,34
2.1923157416305224e-05,21
0.0001543843183793623,189
-0.000588660392237233,85
-0.00010908582558087357,67
1.3017494619492632e-07,5
0.0011278302959226358,159
0.0004358471044835049,83
0.00038523741748494556,74
5.8129711124923336e-05,35
0.00019333137032667336,148
-0.00038343717413837,55
-0.0004781326372134416,81
6.018246873274359e-06,81
0.0007910906483053466,255
-0.00023464072661460008,37
0.00047254108197695695,213
0.0010369879336619549,87
0.0,1
0.0015061839205261708,160
-0.0003464507513958841,97
-0.0003718080424330476,393
0.00014417404871273643,2
-0.0004513134415807654,68
-0.0013799507047016922,180
2.7894395719284988e-05,57
-0.000619471385067267,27
-0.00048412248799565015,186
0.0002780230522600484,55
0.00010780978095100338,192
0.0009382584242078674,108
0.00016166780171707117,46
-0.0006188399477932282,78
-0.0004456498497072298,68
-0.0005692529069345357,257
0.0009654809931165598,146
-0.00015168173904561512,88
0.0,0
0.0001532208305514119,48
0.00030826754308184776,155
3.5142868418306966e-06,123
-6.375611247173065e-05,81
-5.874508349622369e-06,368
-0.0006423032201482143,149
0.0004923154307681553,11
area,ne
0.0,0
-0.0009269459294106217,23
0.0002097212801451329,164
-0.0001347882389103162,36
-0.0010508681487996392,105
-0.0009065234382375185,85
-7.271855918219171e-08,7
-0.00025605586346633813,44
0.0001448075395303503,97
-0.00015685072575305698,76
-0.00046788221628935674,10
-0.00013392760367802436,189
-1.8283038633643543e-05,152
4.059576942335747e-06,118
-1.32879227139228e-07,3
0.0018483663007590246,175
-0.00018617621475895338,347
0.00039981920557508976,12
-2.484705590162907e-06,152
-0.000601075225830943,153
-0.0005727164845013546,19
0.0007795469179527689,144
-1.0559723253772988e-06,4
7.482630366345238e-06,12
0.00016941507527727065,148
-2.299609432511258e-07,5
-0.0008271642158768505,115
-0.0006596635317845979,80
2.0694220290119294e-07,3
0.00018115430145269388,51
