Ratio Hole A,Ratio Neighbors,Ratio Outer Holes,Total
0.023809523809523808,0.2619047619047619,0.7142857142857143,42
0.021505376344086023,0.3655913978494624,0.6129032258064516,93
0.15384615384615385,0.07692307692307693,0.7692307692307693,13
0.01694915254237288,0.4406779661016949,0.5423728813559322,59
0.0,0.5,0.5,8
nan,nan,nan,nan
0.05714285714285714,0.2571428571428571,0.6857142857142857,35
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,0.25,0.75,4
0.0625,0.4166666666666667,0.5208333333333334,48
0.029411764705882353,0.47058823529411764,0.5,34
0.0,0.24242424242424243,0.7575757575757576,33
0.06451612903225806,0.3548387096774194,0.5806451612903226,31
0.0,0.5,0.5,2
0.0,0.32142857142857145,0.6785714285714286,28
0.05660377358490566,0.4339622641509434,0.5094339622641509,53
0.043478260869565216,0.2608695652173913,0.6956521739130435,23
0.03571428571428571,0.4642857142857143,0.5,28
0.0,0.29411764705882354,0.7058823529411765,34
0.05263157894736842,0.42105263157894735,0.5263157894736842,38
0.13793103448275862,0.41379310344827586,0.4482758620689655,29
0.024691358024691357,0.41975308641975306,0.5555555555555556,81
0.0,0.0,1.0,5
0.0547945205479452,0.3972602739726027,0.547945205479452,73
0.03125,0.3125,0.65625,32
0.031746031746031744,0.42857142857142855,0.5396825396825397,63
0.0,0.2857142857142857,0.7142857142857143,7
0.14285714285714285,0.42857142857142855,0.42857142857142855,7
0.037037037037037035,0.4444444444444444,0.5185185185185185,27
0.07142857142857142,0.2857142857142857,0.6428571428571429,14
0.043478260869565216,0.34782608695652173,0.6086956521739131,23
nan,nan,nan,nan
0.0,0.43478260869565216,0.5652173913043478,23
0.08163265306122448,0.3469387755102041,0.5714285714285714,49
0.03225806451612903,0.3225806451612903,0.6451612903225806,31
0.08888888888888889,0.4888888888888889,0.4222222222222222,45
0.037037037037037035,0.48148148148148145,0.48148148148148145,27
0.0,0.25,0.75,4
0.01818181818181818,0.41818181818181815,0.5636363636363636,55
0.016666666666666666,0.4666666666666667,0.5166666666666667,60
nan,nan,nan,nan
0.11764705882352941,0.23529411764705882,0.6470588235294118,17
0.0196078431372549,0.39215686274509803,0.5882352941176471,51
0.0,0.0,1.0,3
0.0,0.5,0.5,4
nan,nan,nan,nan
nan,nan,nan,nan
0.0,0.2833333333333333,0.7166666666666667,60
0.0,0.6666666666666666,0.3333333333333333,6
0.07954545454545454,0.375,0.5454545454545454,88
nan,nan,nan,nan
0.029411764705882353,0.38235294117647056,0.5882352941176471,34
0.0,0.25,0.75,8
1.0,0.0,0.0,1
nan,nan,nan,nan
0.0,0.3684210526315789,0.631578947368421,19
0.0,0.4666666666666667,0.5333333333333333,15
0.0,0.2,0.8,10
0.09090909090909091,0.6363636363636364,0.2727272727272727,11
0.0,0.42857142857142855,0.5714285714285714,21
0.043478260869565216,0.34782608695652173,0.6086956521739131,23
0.04838709677419355,0.3870967741935484,0.5645161290322581,62
0.0,0.30434782608695654,0.6956521739130435,69
0.017543859649122806,0.3684210526315789,0.6140350877192983,57
0.0,0.2727272727272727,0.7272727272727273,11
0.0,0.6363636363636364,0.36363636363636365,22
0.0,0.3333333333333333,0.6666666666666666,6
0.05405405405405406,0.32432432432432434,0.6216216216216216,37
0.0,0.41935483870967744,0.5806451612903226,31
0.0,0.2830188679245283,0.7169811320754716,53
0.0,0.2857142857142857,0.7142857142857143,7
