Ratio Hole A,Ratio Neighbors,Ratio Outer Holes,Total
0.5,0.3888888888888889,0.1111111111111111,36
0.0,1.0,0.0,8
0.02702702702702703,0.7027027027027027,0.2702702702702703,37
0.0,1.0,0.0,1
0.75,0.25,0.0,12
nan,nan,nan,nan
0.16666666666666666,0.4166666666666667,0.4166666666666667,12
0.0,1.0,0.0,8
0.0,0.7142857142857143,0.2857142857142857,35
0.5,0.5,0.0,6
0.25,0.25,0.5,4
nan,nan,nan,nan
0.0,0.5789473684210527,0.42105263157894735,19
0.043478260869565216,0.6086956521739131,0.34782608695652173,46
0.0,0.5714285714285714,0.42857142857142855,7
0.10526315789473684,0.7894736842105263,0.10526315789473684,19
0.0,0.4,0.6,10
0.41379310344827586,0.41379310344827586,0.1724137931034483,29
nan,nan,nan,nan
nan,nan,nan,nan
0.014925373134328358,0.7014925373134329,0.2835820895522388,67
0.13636363636363635,0.7159090909090909,0.14772727272727273,88
0.24,0.64,0.12,25
0.0,0.6428571428571429,0.35714285714285715,14
nan,nan,nan,nan
nan,nan,nan,nan
0.5384615384615384,0.15384615384615385,0.3076923076923077,13
0.02857142857142857,0.6,0.37142857142857144,35
0.1724137931034483,0.3793103448275862,0.4482758620689655,29
0.2222222222222222,0.4074074074074074,0.37037037037037035,27
0.5,0.0,0.5,6
0.16129032258064516,0.7741935483870968,0.06451612903225806,31
0.0,1.0,0.0,1
0.2857142857142857,0.40476190476190477,0.30952380952380953,42
0.0,0.5,0.5,6
0.09523809523809523,0.6666666666666666,0.23809523809523808,21
0.13513513513513514,0.5135135135135135,0.35135135135135137,37
0.47058823529411764,0.4411764705882353,0.08823529411764706,34
0.0,0.5,0.5,10
0.3684210526315789,0.631578947368421,0.0,19
0.16666666666666666,0.8333333333333334,0.0,6
nan,nan,nan,nan
0.0,0.25,0.75,8
0.38461538461538464,0.07692307692307693,0.5384615384615384,13
0.05263157894736842,0.9210526315789473,0.02631578947368421,38
0.0,1.0,0.0,11
0.0,1.0,0.0,7
0.044444444444444446,0.8,0.15555555555555556,45
0.03614457831325301,0.6626506024096386,0.30120481927710846,83
0.13636363636363635,0.6363636363636364,0.22727272727272727,44
0.75,0.25,0.0,16
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,2
0.0,1.0,0.0,10
0.13513513513513514,0.7837837837837838,0.08108108108108109,37
0.0,0.8620689655172413,0.13793103448275862,29
0.0,1.0,0.0,14
0.08,0.92,0.0,25
0.0,1.0,0.0,6
nan,nan,nan,nan
1.0,0.0,0.0,7
0.0,0.875,0.125,40
0.12,0.8,0.08,25
nan,nan,nan,nan
nan,nan,nan,nan
0.0625,0.8125,0.125,32
0.058823529411764705,0.6470588235294118,0.29411764705882354,34
0.0,0.9090909090909091,0.09090909090909091,22
0.20833333333333334,0.08333333333333333,0.7083333333333334,24
0.16666666666666666,0.6666666666666666,0.16666666666666666,6
0.25806451612903225,0.41935483870967744,0.3225806451612903,31
0.0,0.6666666666666666,0.3333333333333333,12
0.15841584158415842,0.6435643564356436,0.19801980198019803,101
nan,nan,nan,nan
0.5,0.4375,0.0625,16
0.5714285714285714,0.42857142857142855,0.0,7
0.03773584905660377,0.6981132075471698,0.2641509433962264,53
0.3125,0.5,0.1875,16
0.0,0.16666666666666666,0.8333333333333334,6
0.75,0.0,0.25,4
0.0,0.84,0.16,50
0.0,0.8461538461538461,0.15384615384615385,13
0.35714285714285715,0.5714285714285714,0.07142857142857142,14
0.6153846153846154,0.38461538461538464,0.0,13
