Ratio Hole A,Ratio Neighbors,Ratio Outer Holes,Total
0.01818181818181818,0.5727272727272728,0.4090909090909091,110
0.1791044776119403,0.5472636815920398,0.2736318407960199,201
0.17801047120418848,0.5078534031413613,0.31413612565445026,191
0.23923444976076555,0.46411483253588515,0.2966507177033493,209
0.0,0.9107142857142857,0.08928571428571429,56
0.0,1.0,0.0,17
0.1188118811881188,0.5544554455445545,0.32673267326732675,101
0.10526315789473684,0.5,0.39473684210526316,152
0.10683760683760683,0.6196581196581197,0.27350427350427353,468
nan,nan,nan,nan
0.0,1.0,0.0,15
0.1507537688442211,0.5527638190954773,0.2964824120603015,199
nan,nan,nan,nan
0.072,0.508,0.42,250
0.057692307692307696,0.6346153846153846,0.3076923076923077,156
0.36363636363636365,0.45454545454545453,0.18181818181818182,33
0.12135922330097088,0.45145631067961167,0.42718446601941745,206
0.0,0.3333333333333333,0.6666666666666666,39
0.3333333333333333,0.4,0.26666666666666666,15
nan,nan,nan,nan
0.10434782608695652,0.6260869565217392,0.26956521739130435,230
0.0,0.7551020408163265,0.24489795918367346,49
0.128,0.5386666666666666,0.3333333333333333,375
0.21739130434782608,0.30434782608695654,0.4782608695652174,23
0.023809523809523808,0.6369047619047619,0.3392857142857143,168
0.14150943396226415,0.6509433962264151,0.20754716981132076,212
0.06060606060606061,0.6742424242424242,0.26515151515151514,264
0.0,0.47058823529411764,0.5294117647058824,17
0.0,0.782608695652174,0.21739130434782608,23
0.1724137931034483,0.5086206896551724,0.31896551724137934,232
0.14285714285714285,0.6541353383458647,0.20300751879699247,133
0.37349397590361444,0.5542168674698795,0.07228915662650602,83
0.0,0.14814814814814814,0.8518518518518519,27
0.18275862068965518,0.5448275862068965,0.27241379310344827,290
0.24561403508771928,0.5964912280701754,0.15789473684210525,57
0.08045977011494253,0.735632183908046,0.1839080459770115,87
0.0,0.7142857142857143,0.2857142857142857,91
0.23529411764705882,0.6568627450980392,0.10784313725490197,102
0.15976331360946747,0.7100591715976331,0.1301775147928994,169
0.3333333333333333,0.6666666666666666,0.0,48
0.1559633027522936,0.45871559633027525,0.3853211009174312,109
0.10795454545454546,0.6193181818181818,0.2727272727272727,352
0.17557251908396945,0.539440203562341,0.28498727735368956,393
0.05357142857142857,0.6130952380952381,0.3333333333333333,168
0.0,0.6363636363636364,0.36363636363636365,44
0.13953488372093023,0.686046511627907,0.1744186046511628,86
0.14583333333333334,0.6458333333333334,0.20833333333333334,48
0.0967741935483871,0.5483870967741935,0.3548387096774194,31
0.28187919463087246,0.5033557046979866,0.21476510067114093,149
0.0,0.7647058823529411,0.23529411764705882,51
0.1643835616438356,0.5273972602739726,0.3082191780821918,146
0.25547445255474455,0.5693430656934306,0.17518248175182483,137
0.05687203791469194,0.8056872037914692,0.13744075829383887,211
0.0,0.2857142857142857,0.7142857142857143,7
0.0,0.7352941176470589,0.2647058823529412,34
0.0,0.0,1.0,8
0.0,0.8405797101449275,0.15942028985507245,69
0.1308411214953271,0.616822429906542,0.2523364485981308,107
0.1702127659574468,0.6702127659574468,0.1595744680851064,94
0.17073170731707318,0.5528455284552846,0.2764227642276423,123
nan,nan,nan,nan
0.2248062015503876,0.37209302325581395,0.40310077519379844,129
0.35526315789473684,0.5131578947368421,0.13157894736842105,76
0.030303030303030304,0.24242424242424243,0.7272727272727273,33
0.0,1.0,0.0,26
0.10897435897435898,0.7115384615384616,0.1794871794871795,156
0.06701030927835051,0.8041237113402062,0.12886597938144329,194
0.2523364485981308,0.45794392523364486,0.2897196261682243,107
nan,nan,nan,nan
0.05511811023622047,0.7244094488188977,0.2204724409448819,127
0.21782178217821782,0.6534653465346535,0.12871287128712872,101
nan,nan,nan,nan
0.08571428571428572,0.5657142857142857,0.3485714285714286,175
0.1700404858299595,0.5465587044534413,0.2834008097165992,247
0.18137254901960784,0.6372549019607843,0.18137254901960784,204
0.1206896551724138,0.6379310344827587,0.2413793103448276,116
0.020942408376963352,0.806282722513089,0.17277486910994763,191
0.0,0.7857142857142857,0.21428571428571427,14
0.3,0.4666666666666667,0.23333333333333334,30
0.1267605633802817,0.5633802816901409,0.30985915492957744,142
0.5172413793103449,0.06896551724137931,0.41379310344827586,29
0.1,0.48,0.42,200
0.0,0.8333333333333334,0.16666666666666666,54
0.09090909090909091,0.7424242424242424,0.16666666666666666,66
0.25,0.3235294117647059,0.4264705882352941,68
0.1836734693877551,0.673469387755102,0.14285714285714285,98
0.15853658536585366,0.5853658536585366,0.25609756097560976,82
0.14124293785310735,0.5875706214689266,0.2711864406779661,177
0.11956521739130435,0.483695652173913,0.3967391304347826,184
0.06818181818181818,0.5852272727272727,0.3465909090909091,176
0.16363636363636364,0.6181818181818182,0.21818181818181817,110
0.0,0.5769230769230769,0.4230769230769231,26
0.18691588785046728,0.43302180685358255,0.38006230529595014,321
0.21052631578947367,0.40131578947368424,0.3881578947368421,152
0.1452991452991453,0.42735042735042733,0.42735042735042733,117
0.1843137254901961,0.5588235294117647,0.2568627450980392,510
0.10471204188481675,0.6151832460732984,0.2801047120418848,382
0.09177215189873418,0.7056962025316456,0.20253164556962025,316
0.32589285714285715,0.38839285714285715,0.2857142857142857,224
0.17333333333333334,0.5866666666666667,0.24,75
0.055970149253731345,0.47761194029850745,0.4664179104477612,268
0.0,0.8275862068965517,0.1724137931034483,58
0.10655737704918032,0.5655737704918032,0.32786885245901637,122
0.17391304347826086,0.391304347826087,0.43478260869565216,23
0.058823529411764705,0.8823529411764706,0.058823529411764705,34
0.0,0.5425531914893617,0.4574468085106383,94
0.18181818181818182,0.5743801652892562,0.24380165289256198,242
0.2777777777777778,0.3333333333333333,0.3888888888888889,36
0.17972350230414746,0.5944700460829493,0.22580645161290322,217
0.1036036036036036,0.5495495495495496,0.34684684684684686,222
0.09787234042553192,0.5659574468085107,0.33617021276595743,235
0.0,0.6410256410256411,0.358974358974359,117
0.20100502512562815,0.5879396984924623,0.21105527638190955,199
0.2080536912751678,0.4429530201342282,0.348993288590604,149
0.13333333333333333,0.6166666666666667,0.25,60
0.14788732394366197,0.5211267605633803,0.33098591549295775,426
0.1962025316455696,0.5569620253164557,0.2468354430379747,158
0.24647887323943662,0.4788732394366197,0.2746478873239437,142
0.2074468085106383,0.5478723404255319,0.24468085106382978,188
0.0,0.0,1.0,12
0.04,0.76,0.2,25
0.17177914110429449,0.6073619631901841,0.22085889570552147,163
0.03759398496240601,0.518796992481203,0.44360902255639095,133
0.0,0.3076923076923077,0.6923076923076923,26
0.30158730158730157,0.36507936507936506,0.3333333333333333,63
0.12138728323699421,0.6994219653179191,0.1791907514450867,173
0.3793103448275862,0.46551724137931033,0.15517241379310345,116
0.04819277108433735,0.5903614457831325,0.3614457831325301,83
0.41935483870967744,0.45161290322580644,0.12903225806451613,31
0.2826086956521739,0.41304347826086957,0.30434782608695654,92
0.08865248226950355,0.45390070921985815,0.4574468085106383,282
0.2366412213740458,0.5114503816793893,0.25190839694656486,131
0.0,1.0,0.0,1
0.0,0.6515151515151515,0.3484848484848485,66
0.13291139240506328,0.6265822784810127,0.24050632911392406,158
0.14682539682539683,0.6309523809523809,0.2222222222222222,252
0.07142857142857142,0.75,0.17857142857142858,56
0.12437810945273632,0.5746268656716418,0.3009950248756219,402
0.06276150627615062,0.8242677824267782,0.11297071129707113,239
0.0,0.0,1.0,11
0.3333333333333333,0.2708333333333333,0.3958333333333333,48
0.10569105691056911,0.7154471544715447,0.17886178861788618,123
nan,nan,nan,nan
0.0,0.0,1.0,4
0.0891089108910891,0.7821782178217822,0.12871287128712872,101
0.15294117647058825,0.7294117647058823,0.11764705882352941,85
0.09166666666666666,0.7083333333333334,0.2,120
0.19254658385093168,0.6583850931677019,0.14906832298136646,161
0.0,0.734375,0.265625,64
0.04411764705882353,0.49264705882352944,0.4632352941176471,136
nan,nan,nan,nan
0.056818181818181816,0.7727272727272727,0.17045454545454544,88
0.0,0.65625,0.34375,32
0.0,0.625,0.375,64
0.13157894736842105,0.4842105263157895,0.38421052631578945,190
0.0,0.875,0.125,120
0.13580246913580246,0.5308641975308642,0.3333333333333333,405
0.0,0.9361702127659575,0.06382978723404255,47
0.18181818181818182,0.5818181818181818,0.23636363636363636,55
0.0,1.0,0.0,16
0.3235294117647059,0.39705882352941174,0.27941176470588236,68
0.17582417582417584,0.7472527472527473,0.07692307692307693,182
0.17886178861788618,0.5,0.32113821138211385,246
0.22388059701492538,0.5447761194029851,0.23134328358208955,134
0.041025641025641026,0.6666666666666666,0.2923076923076923,195
0.08609271523178808,0.8410596026490066,0.0728476821192053,151
0.2923076923076923,0.4461538461538462,0.26153846153846155,65
0.07407407407407407,0.6851851851851852,0.24074074074074073,108
0.05389221556886228,0.49700598802395207,0.4491017964071856,167
0.0,0.4444444444444444,0.5555555555555556,18
0.07547169811320754,0.8113207547169812,0.11320754716981132,53
0.058823529411764705,0.7058823529411765,0.23529411764705882,34
nan,nan,nan,nan
0.1745635910224439,0.5461346633416458,0.2793017456359102,401
0.23958333333333334,0.5729166666666666,0.1875,96
0.03614457831325301,0.5662650602409639,0.39759036144578314,83
nan,nan,nan,nan
0.05454545454545454,0.8,0.14545454545454545,55
0.23076923076923078,0.5384615384615384,0.23076923076923078,117
nan,nan,nan,nan
nan,nan,nan,nan
0.06382978723404255,0.2978723404255319,0.6382978723404256,47
0.3333333333333333,0.6666666666666666,0.0,18
0.1220159151193634,0.4403183023872679,0.4376657824933687,377
0.14285714285714285,0.7142857142857143,0.14285714285714285,7
0.40860215053763443,0.34408602150537637,0.24731182795698925,93
0.09770114942528736,0.6091954022988506,0.29310344827586204,174
0.16666666666666666,0.6458333333333334,0.1875,96
0.30927835051546393,0.5567010309278351,0.13402061855670103,97
0.06451612903225806,0.5345622119815668,0.4009216589861751,434
0.04054054054054054,0.44594594594594594,0.5135135135135135,74
0.009345794392523364,0.719626168224299,0.27102803738317754,107
nan,nan,nan,nan
0.1625615763546798,0.45320197044334976,0.3842364532019704,203
0.0,1.0,0.0,8
0.07042253521126761,0.676056338028169,0.2535211267605634,71
0.032679738562091505,0.6209150326797386,0.3464052287581699,153
0.0,0.8695652173913043,0.13043478260869565,23
0.1324200913242009,0.6438356164383562,0.2237442922374429,219
0.061371841155234655,0.6425992779783394,0.296028880866426,277
0.09090909090909091,0.6853146853146853,0.22377622377622378,143
0.06358381502890173,0.5606936416184971,0.37572254335260113,173
0.24175824175824176,0.5897435897435898,0.1684981684981685,273
0.0,0.4827586206896552,0.5172413793103449,58
0.019230769230769232,0.75,0.23076923076923078,52
0.0,0.5611510791366906,0.43884892086330934,139
0.09649122807017543,0.6754385964912281,0.22807017543859648,342
0.07758620689655173,0.5517241379310345,0.3706896551724138,116
0.12244897959183673,0.5918367346938775,0.2857142857142857,49
nan,nan,nan,nan
0.0,0.859375,0.140625,64
0.0,0.23809523809523808,0.7619047619047619,42
0.2755102040816326,0.5,0.22448979591836735,98
0.15151515151515152,0.7424242424242424,0.10606060606060606,66
0.08943089430894309,0.6707317073170732,0.23983739837398374,246
0.16041979010494753,0.5307346326836582,0.30884557721139433,667
0.18333333333333332,0.5166666666666667,0.3,60
0.16487455197132617,0.5698924731182796,0.26523297491039427,279
0.008264462809917356,0.6198347107438017,0.371900826446281,121
0.0,0.8181818181818182,0.18181818181818182,22
0.1125,0.6125,0.275,80
0.0861244019138756,0.5980861244019139,0.3157894736842105,209
0.23076923076923078,0.4230769230769231,0.34615384615384615,182
0.27631578947368424,0.45394736842105265,0.26973684210526316,152
0.14705882352941177,0.5735294117647058,0.27941176470588236,68
0.18333333333333332,0.5333333333333333,0.2833333333333333,300
0.12051282051282051,0.6128205128205129,0.26666666666666666,390
0.19,0.525,0.285,200
0.10849056603773585,0.5165094339622641,0.375,424
0.14049586776859505,0.5661157024793388,0.29338842975206614,242
0.12745098039215685,0.5882352941176471,0.28431372549019607,102
0.07042253521126761,0.4788732394366197,0.4507042253521127,71
0.26136363636363635,0.5454545454545454,0.19318181818181818,88
0.08949416342412451,0.8093385214007782,0.10116731517509728,257
0.0449438202247191,0.8033707865168539,0.15168539325842698,178
0.0,0.48,0.52,50
0.0625,0.125,0.8125,32
0.020618556701030927,0.6701030927835051,0.30927835051546393,194
0.06233766233766234,0.6493506493506493,0.2883116883116883,385
0.0,0.5263157894736842,0.47368421052631576,38
0.15315315315315314,0.6036036036036037,0.24324324324324326,222
0.12096774193548387,0.47580645161290325,0.4032258064516129,124
