A,B,C,Total
0.20279720279720279,0.6853146853146853,0.11188811188811189,429
0.1317289423685877,0.8027232425585814,0.0655478150728309,3158
0.10794602698650675,0.7726136931534233,0.11944027986006997,2001
0.111681136543015,0.8129439621152328,0.07537490134175218,2534
0.14942528735632185,0.7802829354553492,0.07029177718832891,2262
0.1006108515989939,0.8454904779015451,0.05389867049946101,2783
0.1245272039569392,0.8044806517311609,0.07099214431189992,3437
0.1003610108303249,0.8303249097472925,0.06931407942238267,1385
0.10647639956092206,0.7952799121844127,0.0982436882546652,1822
0.0,0.9770114942528736,0.022988505747126436,87
0.10403120936280884,0.8556566970091027,0.04031209362808843,769
0.07815771109560363,0.801814375436148,0.12002791346824843,1433
0.11352885525070956,0.7521286660359509,0.13434247871333965,1057
0.11642335766423358,0.8031021897810219,0.08047445255474453,5480
0.113006993006993,0.7865734265734265,0.10041958041958042,3575
0.10682261208576999,0.7910331384015594,0.10214424951267057,2565
0.11027190332326284,0.823262839879154,0.06646525679758308,662
0.09532633312744493,0.81408276714021,0.09059089973234506,4857
0.08297872340425531,0.8574468085106383,0.059574468085106386,1410
0.11873290793072015,0.817228805834093,0.06403828623518687,4388
0.17888563049853373,0.7155425219941349,0.10557184750733138,341
0.093573264781491,0.803598971722365,0.10282776349614396,1945
0.07002360346184107,0.8465774980330448,0.08339889850511409,1271
0.03609022556390978,0.8902255639097745,0.07368421052631578,665
0.10891089108910891,0.8333333333333334,0.057755775577557754,2424
0.10855018587360594,0.8297397769516729,0.06171003717472119,2690
0.12567438908283085,0.7775309425579181,0.09679466835925103,3151
0.10538461538461538,0.8376923076923077,0.05692307692307692,1300
0.1174772373972907,0.8205640683988452,0.061958694203864094,4503
0.13096270598438856,0.769297484822203,0.0997398091934085,1153
0.08164598301763554,0.8523840627041149,0.0659699542782495,1531
nan,nan,nan,nan
0.0889942074776198,0.8346498156924698,0.07635597682991048,1899
0.09986206896551725,0.7955862068965517,0.10455172413793104,3625
0.06557377049180328,0.8315946348733234,0.10283159463487332,671
0.125,0.8117977528089888,0.06320224719101124,712
0.1,0.7891566265060241,0.1108433734939759,830
0.09740467798782441,0.8202499198974688,0.08234540211470683,6242
0.11562678878076703,0.7799084144247281,0.10446479679450486,3494
0.2178649237472767,0.7058823529411765,0.07625272331154684,459
0.08566978193146417,0.838006230529595,0.0763239875389408,1284
0.09614772365488698,0.8217128303088188,0.08213944603629417,3141
0.08402389670456735,0.8257853150896126,0.09019078820582001,5189
0.11859649122807017,0.8049122807017544,0.07649122807017544,1425
0.0880597014925373,0.8455223880597015,0.0664179104477612,2680
0.08051341890315053,0.8809801633605601,0.038506417736289385,857
0.16853932584269662,0.8239700374531835,0.00749063670411985,267
0.13449023861171366,0.735357917570499,0.1301518438177874,1383
nan,nan,nan,nan
0.13137996219281664,0.8043478260869565,0.06427221172022685,2116
0.09384800965018095,0.8200241254523523,0.08612786489746682,4145
0.12760416666666666,0.84375,0.028645833333333332,384
0.09774723176785033,0.8230240549828178,0.07922871324933181,5238
0.11295336787564766,0.7533678756476684,0.13367875647668392,965
nan,nan,nan,nan
0.11896348645465253,0.8103651354534747,0.0706713780918728,1698
0.08588588588588589,0.8264264264264264,0.08768768768768768,3330
0.11897976631518951,0.7943858649187803,0.08663436876603021,7018
0.07994579945799458,0.8807588075880759,0.03929539295392954,738
0.10526315789473684,0.7645429362880887,0.13019390581717452,722
0.10569715142428786,0.8425787106446777,0.05172413793103448,1334
0.11186186186186187,0.8185685685685685,0.06956956956956957,3996
0.10113468179575728,0.807104094721263,0.09176122348297977,2027
nan,nan,nan,nan
nan,nan,nan,nan
0.08335994889811561,0.841903545193229,0.07473650590865538,3131
nan,nan,nan,nan
0.09099901088031652,0.8318496538081108,0.0771513353115727,1011
0.09900990099009901,0.8356435643564356,0.06534653465346535,505
0.2857142857142857,0.7142857142857143,0.0,35
0.12318137730358875,0.8134497251859036,0.0633688975105076,3093
nan,nan,nan,nan
0.11172668513388735,0.817174515235457,0.07109879963065559,2166
0.09500648508430609,0.7947470817120622,0.11024643320363164,3084
nan,nan,nan,nan
0.0791599353796446,0.851373182552504,0.06946688206785137,619
0.10290635091496232,0.82497308934338,0.0721205597416577,4645
0.09958992384299942,0.8355789884788127,0.06483108767818785,5121
0.12081447963800905,0.8054298642533937,0.07375565610859729,4420
nan,nan,nan,nan
0.095323281369793,0.8228980322003577,0.08177868642984921,7826
0.13362887903736542,0.77897403419886,0.08739708676377454,1579
0.14788732394366197,0.8133802816901409,0.03873239436619718,284
0.1111111111111111,0.8260233918128655,0.06286549707602339,684
0.10445155659004947,0.8137910968868199,0.08175734652313063,3437
0.11117788461538461,0.8058894230769231,0.0829326923076923,1664
0.07950907150480256,0.8212379935965849,0.09925293489861259,1874
0.10985533453887884,0.7915913200723327,0.09855334538878843,2212
0.10632780082987552,0.821058091286307,0.07261410788381743,3856
